n_boletim;_;dia;_;n_dia;_;dados_medidos;_;_;confirmados;_;descartados;_;_;internados;_;obitosEmInvestigacao;_;obitosConfirmados;_;_;sindromeGripalAc;_;sindromeGripalIns;_;_;MM_14D_confirmados;_;MM_14D_obitosConfirmados;_;_;MM_14D_SG_Ac;_;MM_14D_internados;_;_;TC_30D_confirmados;_;TC_30D_SG_Ac;_;_;TC_30D_e_MM_14D_confirmados;_;TC_30D_e_MM_14D_SG_Ac;_;_;R_MMSGAc_MMconfirmados;_;R_MMconfirmados_MMobitos
1;;16/03/2020;;1;;true;;;0;;4;;;0;;0;;0;;;;;;;;0;;0;;;;;4;;;;;;;;;;;;;;;0
2;;17/03/2020;;2;;true;;;0;;4;;;0;;0;;0;;;;;;;;0;;0;;;;;6;;;;;;;;;;;;;;;0
3;;18/03/2020;;3;;true;;;1;;4;;;0;;0;;0;;;;;;;;0;;0;;;;;7;;;;;;;;;;;;;;;0
4;;19/03/2020;;4;;true;;;1;;4;;;3;;0;;0;;;;;;;;0;;0;;;;;8;;;;;;;;;;;;;;;0
5;;20/03/2020;;5;;true;;;1;;4;;;8;;0;;0;;;;;;;;0;;0;;;40;;10;;;;;;;;;;1;;;40;;0
6;;21/03/2020;;6;;true;;;1;;4;;;9;;0;;0;;;;;;;;1;;0;;;77;;11;;;;;;;;;;2;;;77;;1
7;;22/03/2020;;7;;true;;;1;;4;;;8;;0;;0;;;;;;;;1;;0;;;113;;12;;;;;;;;;;3;;;113;;1
8;;23/03/2020;;8;;true;;;1;;7;;;9;;0;;0;;;;;;;;1;;0;;;146;;13;;;;;;;;;;4;;;146;;1
9;;24/03/2020;;9;;true;;;1;;7;;;19;;3;;0;;;;;;;;1;;0;;;195;;15;;;;;;;;;;6;;;195;;1
10;;25/03/2020;;10;;true;;;1;;7;;;19;;4;;0;;;;;;;;1;;0;;;246;;16;;;;;;;;;;8;;;246;;1
11;;26/03/2020;;11;;true;;;1;;7;;;22;;4;;0;;;;;;;;1;;0;;;301;;18;;;;;;;;;;10;;;301;;1
12;;27/03/2020;;12;;true;;;2;;7;;;24;;4;;0;;;482;;;;;1;;0;;;359;;20;;;;;16;;;;;11;;;359;;1
